WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,Estimates Start After
228,CHL,Chile,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",240.04 ,240.31 ,250.95 ,262.95 ,276.48 ,2014
924,CHN,China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11384.76 ,12253.98 ,13173.59 ,14272.35 ,15620.71 ,2014
233,COL,Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",274.19 ,263.48 ,303.75 ,339.67 ,379.03 ,2014
632,COM,Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.59 ,0.63 ,0.67 ,0.72 ,0.77 ,2013
636,COD,Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",39.06 ,42.06 ,45.41 ,48.85 ,52.80 ,2006
634,COG,Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.87 ,9.77 ,12.20 ,12.80 ,12.53 ,2014
238,CRI,Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",51.62 ,54.98 ,58.79 ,62.96 ,67.21 ,2014
662,CIV,C魌e d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",31.27 ,34.28 ,37.91 ,41.84 ,45.96 ,2012
960,HRV,Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",48.93 ,50.04 ,52.19 ,54.92 ,57.95 ,2014
423,CYP,Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.38 ,19.89 ,20.77 ,21.74 ,22.75 ,2014
935,CZE,Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",182.46 ,189.98 ,196.99 ,201.46 ,203.53 ,2014
128,DNK,Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",291.04 ,300.91 ,316.27 ,333.13 ,349.89 ,2014
611,DJI,Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.74 ,1.93 ,2.14 ,2.37 ,2.61 ,2014
321,DMA,Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.54 ,0.56 ,0.58 ,0.60 ,0.62 ,2014
243,DOM,Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",66.58 ,69.91 ,73.41 ,77.09 ,80.95 ,2014
248,ECU,Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",98.93 ,101.70 ,104.77 ,108.47 ,112.42 ,2014
469,EGY,Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,2014
253,SLV,El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.65 ,26.59 ,27.68 ,28.90 ,30.08 ,2014
642,GNQ,Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.03 ,10.21 ,10.40 ,10.55 ,10.68 ,2013
643,ERI,Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.26 ,4.81 ,5.48 ,6.29 ,7.23 ,2006
939,EST,Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.93 ,24.22 ,25.87 ,27.65 ,29.54 ,2013
644,ETH,Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.02 ,70.17 ,77.44 ,84.41 ,91.98 ,2014
819,FJI,Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.53 ,4.75 ,4.97 ,5.21 ,5.47 ,2013
172,FIN,Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",230.69 ,237.11 ,246.36 ,256.60 ,267.34 ,2014
132,FRA,France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2422.65 ,2488.38 ,2586.57 ,2690.48 ,2801.75 ,2014
646,GAB,Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.80 ,14.24 ,15.48 ,16.65 ,17.77 ,2013
648,GMB,The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.76 ,0.76 ,0.82 ,0.88 ,0.96 ,2012
915,GEO,Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.75 ,14.27 ,15.68 ,17.07 ,18.63 ,2014
134,DEU,Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3371.00 ,3472.51 ,3595.41 ,3721.37 ,3846.70 ,2014
652,GHA,Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.68 ,42.30 ,46.92 ,51.23 ,54.99 ,2014
174,GRC,Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",192.98 ,192.52 ,201.34 ,211.90 ,222.36 ,2014
328,GRD,Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.96 ,1.01 ,1.06 ,1.11 ,1.16 ,2014
258,GTM,Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.22 ,66.40 ,70.53 ,75.13 ,79.96 ,2014
656,GIN,Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.73 ,7.07 ,7.59 ,8.17 ,8.71 ,2009
654,GNB,Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.04 ,1.12 ,1.21 ,1.31 ,1.43 ,2011
336,GUY,Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.20 ,3.41 ,3.60 ,3.80 ,4.01 ,2012
263,HTI,Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.80 ,8.92 ,9.34 ,9.83 ,10.40 ,2015
268,HND,Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.94 ,20.46 ,21.00 ,21.65 ,22.36 ,2013
532,HKG,Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",307.79 ,322.17 ,339.38 ,358.67 ,379.78 ,2014
944,HUN,Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",118.49 ,124.01 ,130.64 ,137.34 ,143.76 ,2014
176,ISL,Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.74 ,17.78 ,18.59 ,19.27 ,19.76 ,2014
